name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
test3_600_4_9999999, #5, 4, 600, 295.414350, 1.193537, 1.411025, 2817, 6000, ∞, 1
test4_10_4_9999999, #5, 4, 10, 10.258701, 0.383262, 0.176162, 96, 100, ∞, 1
test5_10_4_9999999, #5, 4, 10, 10.685165, 0.348143, 0.158987, 96, 100, ∞, 1
test6_1_4_9999999, #5, 4, 1, 1.066433, 0.512395, 0.286065, 9, 10, ∞, 1
test7_600_4_9999999, #5, 4, 600, 275.883054, 0.940594, 1.188133, 2631, 6000, ∞, 1
test8_1_4_9999999, #5, 4, 1, 1.035028, 0.590973, 0.455996, 9, 10, ∞, 1
test9_200_4_9999999, #5, 4, 200, 190.584003, 0.606431, 0.260193, 1833, 2000, ∞, 1
test10_1500_4_9999999, #5, 4, 1500, 112.084615, 0.253338, 1.153096, 976, 15000, ∞, 1
test11_50_4_9999999, #5, 4, 50, 50.383015, 0.411025, 0.161706, 474, 500, ∞, 1
test12_50_4_9999999, #5, 4, 50, 50.243027, 0.561181, 0.366593, 479, 500, ∞, 1
test13_100_4_9999999, #5, 4, 100, 105.596610, 0.480197, 0.186408, 942, 1000, ∞, 1
test14_4000_4_9999999, #5, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, ∞, 1
test15_50_4_9999999, #5, 4, 50, 50.850489, 0.484400, 0.243242, 476, 500, ∞, 1
test16_4000_4_9999999, #5, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, ∞, 1
test17_10_4_9999999, #5, 4, 10, 10.275698, 0.439525, 0.301531, 96, 100, ∞, 1
test18_1000_4_9999999, #5, 4, 1000, 279.600734, 0.388994, 0.738248, 2529, 10000, ∞, 1
test19_400_4_9999999, #5, 4, 400, 461.139688, 1.104871, 0.575487, 3404, 4000, ∞, 1
test20_200_4_9999999, #5, 4, 200, 195.624950, 0.952658, 0.659096, 1841, 2000, ∞, 1
test21_400_4_9999999, #5, 4, 400, 398.959436, 0.847896, 0.453432, 3371, 4000, ∞, 1
test22_1_4_9999999, #5, 4, 1, 1.067367, 0.458057, 0.179832, 9, 10, ∞, 1
test23_2000_4_9999999, #5, 4, 2000, 61.470666, 0.059626, 0.389697, 583, 20000, ∞, 1
test24_100_4_9999999, #5, 4, 100, 107.755615, 0.527580, 0.225927, 941, 1000, ∞, 1
test25_10_4_9999999, #5, 4, 10, 11.002090, 0.362780, 0.183541, 96, 100, ∞, 1
test26_2000_4_9999999, #5, 4, 2000, 105.913546, 0.067432, 0.322687, 986, 20000, ∞, 1
test27_400_4_9999999, #5, 4, 400, 357.596343, 0.816425, 0.413241, 3426, 4000, ∞, 1
test28_800_4_9999999, #5, 4, 800, 110.270322, 0.168844, 0.512060, 1027, 8000, ∞, 1
test29_2000_4_9999999, #5, 4, 2000, 75.596562, 0.072061, 0.413252, 645, 20000, ∞, 1
test30_800_4_9999999, #5, 4, 800, 126.768101, 0.186728, 0.498036, 1198, 8000, ∞, 1
test31_100_4_9999999, #5, 4, 100, 118.921195, 0.608366, 0.404205, 933, 1000, ∞, 1
test32_50_4_9999999, #5, 4, 50, 49.833238, 0.443865, 0.206909, 469, 500, ∞, 1
test33_1000_4_9999999, #5, 4, 1000, 213.280258, 0.317255, 0.699012, 1953, 10000, ∞, 1
test34_800_4_9999999, #5, 4, 800, 259.405271, 0.522338, 0.895177, 2442, 8000, ∞, 1
test35_100_4_9999999, #5, 4, 100, 105.409620, 0.536623, 0.232281, 940, 1000, ∞, 1
test36_100_4_9999999, #5, 4, 100, 100.532758, 0.620425, 0.348984, 945, 1000, ∞, 1
test37_200_4_9999999, #5, 4, 200, 196.106505, 0.649140, 0.288559, 1803, 2000, ∞, 1
test38_4000_4_9999999, #5, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, ∞, 1
test39_600_4_9999999, #5, 4, 600, 334.359357, 1.168791, 1.277955, 3167, 6000, ∞, 1
test40_1000_4_9999999, #5, 4, 1000, 142.792960, 0.241392, 0.685880, 1299, 10000, ∞, 1
test41_1500_4_9999999, #5, 4, 1500, 189.835968, 0.296904, 0.921951, 1687, 15000, ∞, 1
test42_600_4_9999999, #5, 4, 600, 466.678466, 0.932531, 0.846582, 4081, 6000, ∞, 1
test43_1500_4_9999999, #5, 4, 1500, 216.107145, 0.415000, 1.194047, 2052, 15000, ∞, 1
test44_800_4_9999999, #5, 4, 800, 266.874636, 0.698930, 1.134026, 2376, 8000, ∞, 1
test45_400_4_9999999, #5, 4, 400, 349.150628, 0.860816, 0.420820, 3342, 4000, ∞, 1
test46_1_4_9999999, #5, 4, 1, 1.048938, 0.668856, 0.516901, 9, 10, ∞, 1
test47_4000_4_9999999, #5, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, ∞, 1
test48_1500_4_9999999, #5, 4, 1500, 86.385395, 0.097233, 0.435574, 790, 15000, ∞, 1
test49_1000_4_9999999, #5, 4, 1000, 188.203764, 0.425750, 1.034902, 1784, 10000, ∞, 1
test50_400_4_9999999, #5, 4, 400, 375.184687, 0.753631, 0.383544, 3421, 4000, ∞, 1
test51_1000_4_9999999, #5, 4, 1000, 135.108348, 0.259720, 0.727798, 1280, 10000, ∞, 1
test52_800_4_9999999, #5, 4, 800, 112.147461, 0.191394, 0.553528, 883, 8000, ∞, 1
test53_10_4_9999999, #5, 4, 10, 10.340501, 0.396227, 0.218494, 96, 100, ∞, 1
test54_200_4_9999999, #5, 4, 200, 190.404782, 0.707300, 0.331617, 1822, 2000, ∞, 1
test55_2000_4_9999999, #5, 4, 2000, 43.870045, 0.023450, 0.173487, 399, 20000, ∞, 1
test56_4000_4_9999999, #5, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, ∞, 1
test57_200_4_9999999, #5, 4, 200, 198.417250, 0.665841, 0.304291, 1783, 2000, ∞, 1
test58_50_4_9999999, #5, 4, 50, 49.998772, 0.607932, 0.357872, 473, 500, ∞, 1
test59_2000_4_9999999, #5, 4, 2000, 72.716231, 0.115306, 0.780141, 685, 20000, ∞, 1
